Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
1,1,64,1,El Capitan,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, TOSS",DOE/NNSA/LLNL,HPE,United States,2024,Research,"11,039,616","9,988,224","1,742,000.00","2,746,376.09","25,446,528",,"17,406.90","29,580.98",Submitted,58.89,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),"1,800",TOSS,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"49,763",180307
2,2,59,1,Frontier,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11, HPE Cray OS",DOE/SC/Oak Ridge National Laboratory,HPE,United States,2021,Research,"9,066,176","8,451,520","1,353,000.00","2,055,716.99","24,837,120",,"14,054.00","24,607.00",Submitted,54.98,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"48,553",180047
3,3,62,2,Aurora,"HPE Cray EX - Intel Exascale Compute Blade, Xeon CPU Max 9470 52C 2.4GHz, Intel Data Center GPU Max, Slingshot-11",DOE/SC/Argonne National Laboratory,Intel,United States,2023,Research,"9,264,128","8,159,232","1,012,000.00","1,980,006.00","28,773,888",,"5,612.60","38,698.36",Submitted,26.15,,MPP,Xeon CPU Max 9470 52C 2.4GHz,Intel Sapphire Rapids,"2,400",SUSE Linux Enterprise Server 15 SP4,Linux,Intel Data Center GPU Max,52,Intel Xeon Max,HPE Cray EX - Intel Exascale Compute Blade,HPE Cray EX - Intel Exascale Compute Blade,Gigabit Ethernet,Slingshot-11,North America,"47,347",180183
4,,65,4,JUPITER Booster,"BullSequana XH3000, GH Superchip 72C 3GHz, NVIDIA GH200 Superchip, Quad-Rail NVIDIA InfiniBand NDR200, RedHat Enterprise Linux",EuroHPC/FZJ,EVIDEN,Germany,2025,Research,"4,801,344","3,106,752","793,400.00","930,000.00","19,668,992",,,"13,088.23",Submitted,60.62,,Cluster,GH Superchip 72C 3GHz,NVIDIA Grace CPU,"3,000",RedHat Enterprise Linux,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,BullSequana XH3000,EVIDEN BullSequana,Infiniband,Quad-Rail NVIDIA InfiniBand NDR200,Europe,"51,016",180357
5,4,62,3,Eagle,"Microsoft NDv5, Xeon Platinum 8480C 48C 2GHz, NVIDIA H100, NVIDIA Infiniband NDR",Microsoft Azure,Microsoft Azure,United States,2023,Industry,"2,073,600","1,900,800","561,200.00","846,835.20","11,796,480",,,,,,,Cluster,Xeon Platinum 8480C 48C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04,Linux,NVIDIA H100,48,Xeon Platinum (Sapphire Rapids),Microsoft NDv5,Microsoft Azure Cluster,Infiniband,NVIDIA Infiniband NDR,North America,"50,981",180236
6,5,64,5,HPC6,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11, RHEL 8.9",Eni S.p.A.,HPE,Italy,2024,Industry,"3,143,520","2,930,400","477,900.00","606,965.76","13,914,880",,,"8,460.90",Submitted,56.48,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",RHEL 8.9,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,489",180315
7,6,55,1,Supercomputer Fugaku,"Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D",RIKEN Center for Computational Science,Fujitsu,Japan,2020,Research,"7,630,848",,"442,010.00","537,212.00","21,288,960",,"16,004.50","29,899.23",Submitted,14.78,,MPP,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,Supercomputer Fugaku,Fujitsu Cluster,Proprietary Network,Tofu interconnect D,Asia,"50,831",179807
8,7,63,6,Alps,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11, HPE Cray OS",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2024,Research,"2,121,600","1,372,800","434,900.00","574,841.28","15,400,960",,"3,671.32","7,124.00",Submitted,61.05,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",HPE Cray OS,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,422",180259
9,8,59,3,LUMI,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",EuroHPC/CSC,HPE,Finland,2023,Research,"2,752,704","2,566,080","379,700.00","531,505.15","13,685,760",,"4,586.95","7,106.82",Submitted,53.43,,MPP,AMD Optimized 3rd Generation EPYC 64C 2GHz,AMD Zen-3 (Milan),"2,000",HPE Cray OS,Linux,AMD Instinct MI250X,64,AMD Zen-3 (Milan),HPE Cray EX235a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"50,908",180048
10,9,60,4,Leonardo,"BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband",EuroHPC/CINECA,EVIDEN,Italy,2023,Academic,"1,824,768","1,714,176","241,200.00","306,311.16","10,229,760",,"3,113.94","7,493.74",Submitted,32.19,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,"2,600",Linux,Linux,NVIDIA A100 SXM4 64 GB,32,Xeon Platinum 83xx (Ice Lake),BullSequana XH2000,BullSequana,Infiniband,Quad-rail NVIDIA HDR100 Infiniband,Europe,"50,944",180128
11,,65,11,Isambard-AI phase 2,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11, HPE Cray OS",University of Bristol,HPE,United Kingdom,2025,Academic,"1,028,160","665,280","216,500.00","278,576.93","10,399,744",,,,,,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",HPE Cray OS,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,"49,136",180388
12,10,64,10,Tuolumne,"HPE Cray EX255a, AMD 4th Gen EPYC 24C 1.8GHz, AMD Instinct MI300A, Slingshot-11, TOSS",DOE/NNSA/LLNL,HPE,United States,2024,Research,"1,161,216","1,050,624","208,100.00","288,881.05","8,294,400",,,"3,386.62",Submitted,61.45,,MPP,AMD 4th Gen EPYC 24C 1.8GHz,AMD Zen-4 (Genoa),"1,800",TOSS,Linux,AMD Instinct MI300A,24,AMD Zen-4 (Genoa),HPE Cray EX255a,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"49,763",180308
13,,65,13,ISEG2,"Nebius NB-D-SR-IESH6, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H200 SXM5 141 GB, Infiniband NDR400, Ubuntu 22.04",Nebius,Nebius AI,Netherlands,2025,Others,"718,848","658,944","202,400.00","338,489.55","9,164,800",,,"5,300.00",Submitted,38.19,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,"2,100",Ubuntu 22.04,Linux,NVIDIA H200 SXM5 141 GB,48,Xeon Platinum (Sapphire Rapids),Nebius NB-D-SR-IESH6,Nebius AI Cluster,Infiniband,Infiniband NDR400,Europe,"50,986",180366
14,11,62,8,MareNostrum 5 ACC,"BullSequana XH3000, Xeon Platinum 8460Y+ 32C 2.3GHz, NVIDIA H100 64GB, Infiniband NDR",EuroHPC/BSC,EVIDEN,Spain,2023,Research,"663,040","591,360","175,300.00","249,435.65","6,194,944",,"1,146.98","4,158.90",Submitted,42.15,,Cluster,Xeon Platinum 8460Y+ 32C 2.3GHz,Intel Sapphire Rapids,"2,300",RedHat 9.1,Linux,NVIDIA H100 64GB,32,Xeon Platinum (Sapphire Rapids),BullSequana XH3000,EVIDEN BullSequana,Infiniband,Infiniband NDR,Europe,"50,979",180238
15,,65,15,ABCI 3.0,"HPE Cray XD670, Xeon Platinum 8558 48C 2.1GHz, NVIDIA H200 SXM5 141 GB, Infiniband NDR200, Rocky Linux 9",National Institute of Advanced Industrial Science and Technology (AIST),HPE,Japan,2024,Research,"479,232","439,296","145,100.00","181,493.81","7,536,640",,"2,445.67","3,596.10",Submitted,40.35,,Cluster,Xeon Platinum 8558 48C 2.1GHz,Intel Emerald Rapids,"2,100",Rocky Linux 9,Linux,NVIDIA H200 SXM5 141 GB,48,Xeon Platinum 85xx,HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR200,Asia,"50,762",180390
16,12,62,9,Eos NVIDIA DGX SuperPOD,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 3.8GHz, NVIDIA H100, Infiniband NDR400",NVIDIA Corporation,Nvidia,United States,2023,Vendor,"485,888","439,296","121,400.00","188,645.02","5,484,544",,,,,,,Cluster,Xeon Platinum 8480C 56C 3.8GHz,Intel Sapphire Rapids,"3,800",Ubuntu 22.04.3 LTS,Linux,NVIDIA H100 SXM5 80GB,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,North America,"48,448",180239
17,,65,17,Discovery 6,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11, HPE Cray OS",ExxonMobil,HPE,United States,2025,Industry,"822,528","532,224","118,600.00","222,861.54","6,658,560",,,,,,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",HPE Cray OS,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"50,949",180352
18,,65,18,SSC-24,"HPE Cray XD670, Xeon Gold 6430 32C 2.1GHz, NVIDIA H100 SXM5 80GB, Infiniband NDR400, RHEL 9.2",Samsung Electronics,HPE,South Korea,2024,Industry,"349,440","329,472","106,200.00","151,101.85","4,915,200",,,,,,,Cluster,Xeon Gold 6430 32C 2.1GHz,Intel Sapphire Rapids,"2,100",RHEL 9.2,Linux,NVIDIA H100 SXM5 80GB,32,Xeon Gold (Sapphire Rapids),HPE Cray XD670,HPE Cray XD,Infiniband,Infiniband NDR400,Asia,"50,903",180381
19,13,63,11,Venado,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",DOE/NNSA/LANL,HPE,United States,2024,Research,"481,440","311,520","98,510.00","130,444.75","6,758,400",,,"1,661.57",Submitted,59.29,,MPP,NVIDIA Grace 72C 3.1GHz,NVIDIA Grace CPU,"3,100",Linux,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,HPE Cray EX254n,HPE Cray EX,Gigabit Ethernet,Slingshot-11,North America,"50,157",180246
20,14,51,3,Sierra,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,"1,572,480","1,382,400","94,640.00","125,712.00","11,902,464",,"1,795.67","7,438.28",Submitted,12.72,,Cluster,IBM POWER9 22C 3.1GHz,Power,"3,100",Red Hat Enterprise Linux,Linux,NVIDIA Volta GV100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"49,763",179398
21,15,47,1,Sunway TaihuLight,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",National Supercomputing Center in Wuxi,NRCPC,China,2016,Research,"10,649,600",,"93,014.59","125,435.90","12,288,000",,480.85,"15,371.00",Submitted,6.05,,MPP,Sunway SW26010 260C 1.45GHz,ShenWei,"1,450",Sunway RaiseOS 2.0.5,Linux,None,260,Sunway,Sunway MPP,Sunway Cluster,Custom Interconnect,Sunway,Asia,"50,623",178764
22,16,64,16,CHIE-3,"NVIDIA DGX H100, Xeon Platinum 8480C 56C 2GHz, NVIDIA H100, Infiniband NDR400, Ubuntu 22.04.4 LTS",SoftBank Corp.,Nvidia,Japan,2024,Industry,"297,840","269,280","91,940.00","138,320.16","4,620,800",,,,,,,Cluster,Xeon Platinum 8480C 56C 2GHz,Intel Sapphire Rapids,"2,000",Ubuntu 22.04.4 LTS,Linux,NVIDIA H100,56,Xeon Platinum (Sapphire Rapids),NVIDIA DGX H100,NVIDIA DGX,Infiniband,Infiniband NDR400,Asia,"51,045",180330
23,22,63,17,CEA-HE,"BullSequana XH3000, GH Superchip 72C 3GHz, NVIDIA GH200 Superchip, Quad-Rail BXI v2, Linux",Commissariat a l'Energie Atomique (CEA),EVIDEN,France,2024,Research,"548,352","354,816","90,790.00","171,264.00","7,208,960",,"1,228.00","1,770.00",Submitted,51.29,,Cluster,GH Superchip 72C 3GHz,NVIDIA Grace CPU,"3,000",Linux,Linux,NVIDIA GH200 Superchip,72,NVIDIA Grace,BullSequana XH3000,EVIDEN BullSequana,Infiniband,Quad-Rail BXI v2,Europe,"47,593",180271
